Date,Ticker,Close
6/28/2022,TSLA,232.6633301
6/29/2022,TSLA,228.4900055
6/30/2022,TSLA,224.4733276
7/1/2022,TSLA,227.2633362
7/5/2022,TSLA,233.0666656
7/6/2022,TSLA,231.7333374
7/7/2022,TSLA,244.543335
7/8/2022,TSLA,250.7633362
7/11/2022,TSLA,234.343338
7/12/2022,TSLA,233.0700073
7/13/2022,TSLA,237.0399933
7/14/2022,TSLA,238.3133392
7/15/2022,TSLA,240.0666656
7/18/2022,TSLA,240.5466614
7/19/2022,TSLA,245.5299988
7/20/2022,TSLA,247.5
7/21/2022,TSLA,271.706665
7/22/2022,TSLA,272.2433472
7/25/2022,TSLA,268.4333191
7/26/2022,TSLA,258.8599854
7/27/2022,TSLA,274.8200073
7/28/2022,TSLA,280.8999939
7/29/2022,TSLA,297.1499939
8/1/2022,TSLA,297.2766724
8/2/2022,TSLA,300.5866699
8/3/2022,TSLA,307.3966675
8/4/2022,TSLA,308.6333313
8/5/2022,TSLA,288.1700134
8/8/2022,TSLA,290.4233398
8/9/2022,TSLA,283.3333435
8/10/2022,TSLA,294.3566589
8/11/2022,TSLA,286.6300049
8/12/2022,TSLA,300.0299988
8/15/2022,TSLA,309.3200073
8/16/2022,TSLA,306.563324
8/17/2022,TSLA,303.9966736
8/18/2022,TSLA,302.8699951
8/19/2022,TSLA,296.6666565
8/22/2022,TSLA,289.9133301
8/23/2022,TSLA,296.4533386
8/24/2022,TSLA,297.0966797
8/25/2022,TSLA,296.0700073
8/26/2022,TSLA,288.0899963
8/29/2022,TSLA,284.8200073
8/30/2022,TSLA,277.7000122
8/31/2022,TSLA,275.6099854
9/1/2022,TSLA,277.1600037
9/2/2022,TSLA,270.2099915
9/6/2022,TSLA,274.4200134
9/7/2022,TSLA,283.7000122
9/8/2022,TSLA,289.2600098
9/9/2022,TSLA,299.6799927
9/12/2022,TSLA,304.4200134
9/13/2022,TSLA,292.1300049
9/14/2022,TSLA,302.6099854
9/15/2022,TSLA,303.75
9/16/2022,TSLA,303.3500061
9/19/2022,TSLA,309.0700073
9/20/2022,TSLA,308.730011
9/21/2022,TSLA,300.7999878
9/22/2022,TSLA,288.5899963
9/23/2022,TSLA,275.3299866
9/26/2022,TSLA,276.0100098
9/27/2022,TSLA,282.9400024
9/28/2022,TSLA,287.8099976
9/29/2022,TSLA,268.2099915
9/30/2022,TSLA,265.25
10/3/2022,TSLA,242.3999939
10/4/2022,TSLA,249.4400024
10/5/2022,TSLA,240.8099976
10/6/2022,TSLA,238.1300049
10/7/2022,TSLA,223.0700073
10/10/2022,TSLA,222.9600067
10/11/2022,TSLA,216.5
10/12/2022,TSLA,217.2400055
10/13/2022,TSLA,221.7200012
10/14/2022,TSLA,204.9900055
10/17/2022,TSLA,219.3500061
10/18/2022,TSLA,220.1900024
10/19/2022,TSLA,222.0399933
10/20/2022,TSLA,207.2799988
10/21/2022,TSLA,214.4400024
10/24/2022,TSLA,211.25
10/25/2022,TSLA,222.4199982
10/26/2022,TSLA,224.6399994
10/27/2022,TSLA,225.0899963
10/28/2022,TSLA,228.5200043
10/31/2022,TSLA,227.5399933
11/1/2022,TSLA,227.8200073
11/2/2022,TSLA,214.9799957
11/3/2022,TSLA,215.3099976
11/4/2022,TSLA,207.4700012
11/7/2022,TSLA,197.0800018
11/8/2022,TSLA,191.3000031
11/9/2022,TSLA,177.5899963
11/10/2022,TSLA,190.7200012
11/11/2022,TSLA,195.9700012
11/14/2022,TSLA,190.9499969
11/15/2022,TSLA,194.4199982
11/16/2022,TSLA,186.9199982
6/28/2022,AAPL,137.0220642
6/29/2022,AAPL,138.8066101
6/30/2022,AAPL,136.304245
7/1/2022,AAPL,138.5075073
7/5/2022,AAPL,141.1295319
7/6/2022,AAPL,142.4853821
7/7/2022,AAPL,145.9049683
7/8/2022,AAPL,146.5928497
7/11/2022,AAPL,144.4294586
7/12/2022,AAPL,145.4164429
7/13/2022,AAPL,145.0475769
7/14/2022,AAPL,148.0185242
7/15/2022,AAPL,149.7133331
7/18/2022,AAPL,146.6227875
7/19/2022,AAPL,150.5408173
7/20/2022,AAPL,152.5746155
7/21/2022,AAPL,154.877594
7/22/2022,AAPL,153.6214142
7/25/2022,AAPL,152.4848938
7/26/2022,AAPL,151.1389923
7/27/2022,AAPL,156.3132019
7/28/2022,AAPL,156.871521
